instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13602050,53133,DELHIVERY25SEPFUT,DELHIVERY,0.0,2025-09-30,0.0,0.05,2075,FUT,NFO-FUT,NFO
13602306,53134,DIVISLAB25SEPFUT,DIVISLAB,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13602562,53135,DIXON25SEPFUT,DIXON,0.0,2025-09-30,0.0,1.0,50,FUT,NFO-FUT,NFO
13602818,53136,DLF25SEPFUT,DLF,0.0,2025-09-30,0.0,0.05,825,FUT,NFO-FUT,NFO
13603330,53138,DMART25SEPFUT,DMART,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13603586,53139,DRREDDY25SEPFUT,DRREDDY,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13606146,53149,EICHERMOT25SEPFUT,EICHERMOT,0.0,2025-09-30,0.0,0.5,175,FUT,NFO-FUT,NFO
13606402,53150,ETERNAL25SEPFUT,ETERNAL,0.0,2025-09-30,0.0,0.05,2425,FUT,NFO-FUT,NFO
13606658,53151,EXIDEIND25SEPFUT,EXIDEIND,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13606914,53152,FEDERALBNK25SEPFUT,FEDERALBNK,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13567234,52997,FINNIFTY25SEPFUT,FINNIFTY,0.0,2025-09-30,0.0,0.1,65,FUT,NFO-FUT,NFO
13607426,53154,FORTIS25SEPFUT,FORTIS,0.0,2025-09-30,0.0,0.05,775,FUT,NFO-FUT,NFO
13608706,53159,GAIL25SEPFUT,GAIL,0.0,2025-09-30,0.0,0.01,3150,FUT,NFO-FUT,NFO
13608962,53160,GLENMARK25SEPFUT,GLENMARK,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13609218,53161,GMRAIRPORT25SEPFUT,GMRAIRPORT,0.0,2025-09-30,0.0,0.01,6975,FUT,NFO-FUT,NFO
13609474,53162,GODREJCP25SEPFUT,GODREJCP,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13609730,53163,GODREJPROP25SEPFUT,GODREJPROP,0.0,2025-09-30,0.0,0.1,275,FUT,NFO-FUT,NFO
13609986,53164,GRASIM25SEPFUT,GRASIM,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13610242,53165,HAL25SEPFUT,HAL,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13610498,53166,HAVELLS25SEPFUT,HAVELLS,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13611266,53169,HCLTECH25SEPFUT,HCLTECH,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13611522,53170,HDFCAMC25SEPFUT,HDFCAMC,0.0,2025-09-30,0.0,0.5,150,FUT,NFO-FUT,NFO
13611778,53171,HDFCBANK25SEPFUT,HDFCBANK,0.0,2025-09-30,0.0,0.05,1100,FUT,NFO-FUT,NFO
13612034,53172,HDFCLIFE25SEPFUT,HDFCLIFE,0.0,2025-09-30,0.0,0.05,1100,FUT,NFO-FUT,NFO
13612290,53173,HEROMOTOCO25SEPFUT,HEROMOTOCO,0.0,2025-09-30,0.0,0.5,150,FUT,NFO-FUT,NFO
13612546,53174,HFCL25SEPFUT,HFCL,0.0,2025-09-30,0.0,0.01,6450,FUT,NFO-FUT,NFO
13612802,53175,HINDALCO25SEPFUT,HINDALCO,0.0,2025-09-30,0.0,0.05,1400,FUT,NFO-FUT,NFO
13613058,53176,HINDPETRO25SEPFUT,HINDPETRO,0.0,2025-09-30,0.0,0.05,2025,FUT,NFO-FUT,NFO
13615362,53185,HINDUNILVR25SEPFUT,HINDUNILVR,0.0,2025-09-30,0.0,0.1,300,FUT,NFO-FUT,NFO
13615618,53186,HINDZINC25SEPFUT,HINDZINC,0.0,2025-09-30,0.0,0.05,1225,FUT,NFO-FUT,NFO
13615874,53187,HUDCO25SEPFUT,HUDCO,0.0,2025-09-30,0.0,0.01,2775,FUT,NFO-FUT,NFO
13616130,53188,ICICIBANK25SEPFUT,ICICIBANK,0.0,2025-09-30,0.0,0.1,700,FUT,NFO-FUT,NFO
13616386,53189,ICICIGI25SEPFUT,ICICIGI,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13616642,53190,ICICIPRULI25SEPFUT,ICICIPRULI,0.0,2025-09-30,0.0,0.05,925,FUT,NFO-FUT,NFO
13617154,53192,IDEA25SEPFUT,IDEA,0.0,2025-09-30,0.0,0.01,71475,FUT,NFO-FUT,NFO
13617410,53193,IDFCFIRSTB25SEPFUT,IDFCFIRSTB,0.0,2025-09-30,0.0,0.01,9275,FUT,NFO-FUT,NFO
13618946,53199,IEX25SEPFUT,IEX,0.0,2025-09-30,0.0,0.01,3750,FUT,NFO-FUT,NFO
13619202,53200,IGL25SEPFUT,IGL,0.0,2025-09-30,0.0,0.01,2750,FUT,NFO-FUT,NFO
13619970,53203,IIFL25SEPFUT,IIFL,0.0,2025-09-30,0.0,0.05,1650,FUT,NFO-FUT,NFO
13620226,53204,INDHOTEL25SEPFUT,INDHOTEL,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13620482,53205,INDIANB25SEPFUT,INDIANB,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13620738,53206,INDIGO25SEPFUT,INDIGO,0.0,2025-09-30,0.0,0.5,150,FUT,NFO-FUT,NFO
13626882,53230,INDUSINDBK25SEPFUT,INDUSINDBK,0.0,2025-09-30,0.0,0.05,700,FUT,NFO-FUT,NFO
13627138,53231,INDUSTOWER25SEPFUT,INDUSTOWER,0.0,2025-09-30,0.0,0.05,1700,FUT,NFO-FUT,NFO
13627394,53232,INFY25SEPFUT,INFY,0.0,2025-09-30,0.0,0.1,400,FUT,NFO-FUT,NFO
13627650,53233,INOXWIND25SEPFUT,INOXWIND,0.0,2025-09-30,0.0,0.01,3272,FUT,NFO-FUT,NFO
13627906,53234,IOC25SEPFUT,IOC,0.0,2025-09-30,0.0,0.01,4875,FUT,NFO-FUT,NFO
13628674,53237,IRCTC25SEPFUT,IRCTC,0.0,2025-09-30,0.0,0.05,875,FUT,NFO-FUT,NFO
13628930,53238,IREDA25SEPFUT,IREDA,0.0,2025-09-30,0.0,0.01,3450,FUT,NFO-FUT,NFO
13629186,53239,IRFC25SEPFUT,IRFC,0.0,2025-09-30,0.0,0.01,4250,FUT,NFO-FUT,NFO
13629954,53242,ITC25SEPFUT,ITC,0.0,2025-09-30,0.0,0.05,1600,FUT,NFO-FUT,NFO
13630210,53243,JINDALSTEL25SEPFUT,JINDALSTEL,0.0,2025-09-30,0.0,0.05,625,FUT,NFO-FUT,NFO
13636098,53266,JIOFIN25SEPFUT,JIOFIN,0.0,2025-09-30,0.0,0.05,2350,FUT,NFO-FUT,NFO
13636354,53267,JSWENERGY25SEPFUT,JSWENERGY,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13637378,53271,JSWSTEEL25SEPFUT,JSWSTEEL,0.0,2025-09-30,0.0,0.1,675,FUT,NFO-FUT,NFO
13637634,53272,JUBLFOOD25SEPFUT,JUBLFOOD,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13640194,53282,KALYANKJIL25SEPFUT,KALYANKJIL,0.0,2025-09-30,0.0,0.05,1175,FUT,NFO-FUT,NFO
13640450,53283,KAYNES25SEPFUT,KAYNES,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13640962,53285,KEI25SEPFUT,KEI,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13641730,53288,KFINTECH25SEPFUT,KFINTECH,0.0,2025-09-30,0.0,0.1,450,FUT,NFO-FUT,NFO
13660162,53360,KOTAKBANK25SEPFUT,KOTAKBANK,0.0,2025-09-30,0.0,0.1,400,FUT,NFO-FUT,NFO
13660418,53361,KPITTECH25SEPFUT,KPITTECH,0.0,2025-09-30,0.0,0.1,400,FUT,NFO-FUT,NFO
13660674,53362,LAURUSLABS25SEPFUT,LAURUSLABS,0.0,2025-09-30,0.0,0.05,1700,FUT,NFO-FUT,NFO
13660930,53363,LICHSGFIN25SEPFUT,LICHSGFIN,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13661186,53364,LICI25SEPFUT,LICI,0.0,2025-09-30,0.0,0.05,700,FUT,NFO-FUT,NFO
13661442,53365,LODHA25SEPFUT,LODHA,0.0,2025-09-30,0.0,0.1,450,FUT,NFO-FUT,NFO
13670402,53400,LT25SEPFUT,LT,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13670658,53401,LTF25SEPFUT,LTF,0.0,2025-09-30,0.0,0.01,4462,FUT,NFO-FUT,NFO
13672962,53410,LTIM25SEPFUT,LTIM,0.0,2025-09-30,0.0,0.5,150,FUT,NFO-FUT,NFO
13673218,53411,LUPIN25SEPFUT,LUPIN,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13673474,53412,M&M25SEPFUT,M&M,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13689858,53476,MANAPPURAM25SEPFUT,MANAPPURAM,0.0,2025-09-30,0.0,0.05,3000,FUT,NFO-FUT,NFO
13690114,53477,MANKIND25SEPFUT,MANKIND,0.0,2025-09-30,0.0,0.1,225,FUT,NFO-FUT,NFO
13693954,53492,MARICO25SEPFUT,MARICO,0.0,2025-09-30,0.0,0.05,1200,FUT,NFO-FUT,NFO
13694210,53493,MARUTI25SEPFUT,MARUTI,0.0,2025-09-30,0.0,1.0,50,FUT,NFO-FUT,NFO
13747970,53703,MAXHEALTH25SEPFUT,MAXHEALTH,0.0,2025-09-30,0.0,0.1,525,FUT,NFO-FUT,NFO
13748226,53704,MAZDOCK25SEPFUT,MAZDOCK,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13748482,53705,MCX25SEPFUT,MCX,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13748738,53706,MFSL25SEPFUT,MFSL,0.0,2025-09-30,0.0,0.1,800,FUT,NFO-FUT,NFO
13567490,52998,MIDCPNIFTY25SEPFUT,MIDCPNIFTY,0.0,2025-09-30,0.0,0.05,140,FUT,NFO-FUT,NFO
13748994,53707,MOTHERSON25SEPFUT,MOTHERSON,0.0,2025-09-30,0.0,0.01,6150,FUT,NFO-FUT,NFO
13749250,53708,MPHASIS25SEPFUT,MPHASIS,0.0,2025-09-30,0.0,0.1,275,FUT,NFO-FUT,NFO
13749506,53709,MUTHOOTFIN25SEPFUT,MUTHOOTFIN,0.0,2025-09-30,0.0,0.1,275,FUT,NFO-FUT,NFO
13749762,53710,NATIONALUM25SEPFUT,NATIONALUM,0.0,2025-09-30,0.0,0.01,3750,FUT,NFO-FUT,NFO
13750018,53711,NAUKRI25SEPFUT,NAUKRI,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13750786,53714,NBCC25SEPFUT,NBCC,0.0,2025-09-30,0.0,0.01,6500,FUT,NFO-FUT,NFO
13751042,53715,NCC25SEPFUT,NCC,0.0,2025-09-30,0.0,0.01,2700,FUT,NFO-FUT,NFO
13752322,53720,NESTLEIND25SEPFUT,NESTLEIND,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13752578,53721,NHPC25SEPFUT,NHPC,0.0,2025-09-30,0.0,0.01,6400,FUT,NFO-FUT,NFO
13568514,53002,NIFTYNXT5025SEPFUT,NIFTYNXT50,0.0,2025-09-30,0.0,0.2,25,FUT,NFO-FUT,NFO
13758978,53746,NMDC25SEPFUT,NMDC,0.0,2025-09-30,0.0,0.01,13500,FUT,NFO-FUT,NFO
13759234,53747,NTPC25SEPFUT,NTPC,0.0,2025-09-30,0.0,0.05,1500,FUT,NFO-FUT,NFO
13433858,52476,NUVAMA25SEPFUT,NUVAMA,0.0,2025-09-30,0.0,0.5,75,FUT,NFO-FUT,NFO
13759490,53748,NYKAA25SEPFUT,NYKAA,0.0,2025-09-30,0.0,0.01,3125,FUT,NFO-FUT,NFO
13759746,53749,OBEROIRLTY25SEPFUT,OBEROIRLTY,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13760002,53750,OFSS25SEPFUT,OFSS,0.0,2025-09-30,0.0,0.5,75,FUT,NFO-FUT,NFO
13760258,53751,OIL25SEPFUT,OIL,0.0,2025-09-30,0.0,0.05,1400,FUT,NFO-FUT,NFO
13760514,53752,ONGC25SEPFUT,ONGC,0.0,2025-09-30,0.0,0.01,2250,FUT,NFO-FUT,NFO
13760770,53753,PAGEIND25SEPFUT,PAGEIND,0.0,2025-09-30,0.0,5.0,15,FUT,NFO-FUT,NFO
13761026,53754,PATANJALI25SEPFUT,PATANJALI,0.0,2025-09-30,0.0,0.1,900,FUT,NFO-FUT,NFO
13761282,53755,PAYTM25SEPFUT,PAYTM,0.0,2025-09-30,0.0,0.1,725,FUT,NFO-FUT,NFO
13761794,53757,PERSISTENT25SEPFUT,PERSISTENT,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13762050,53758,PETRONET25SEPFUT,PETRONET,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13762306,53759,PFC25SEPFUT,PFC,0.0,2025-09-30,0.0,0.05,1300,FUT,NFO-FUT,NFO
13763842,53765,PGEL25SEPFUT,PGEL,0.0,2025-09-30,0.0,0.05,700,FUT,NFO-FUT,NFO
13764098,53766,PHOENIXLTD25SEPFUT,PHOENIXLTD,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13764866,53769,PIDILITIND25SEPFUT,PIDILITIND,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13766914,53777,PIIND25SEPFUT,PIIND,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13767170,53778,PNB25SEPFUT,PNB,0.0,2025-09-30,0.0,0.01,8000,FUT,NFO-FUT,NFO
13767426,53779,PNBHOUSING25SEPFUT,PNBHOUSING,0.0,2025-09-30,0.0,0.05,650,FUT,NFO-FUT,NFO
13767938,53781,POLICYBZR25SEPFUT,POLICYBZR,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13770498,53791,POLYCAB25SEPFUT,POLYCAB,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13770754,53792,POWERGRID25SEPFUT,POWERGRID,0.0,2025-09-30,0.0,0.05,1900,FUT,NFO-FUT,NFO
13771522,53795,PPLPHARMA25SEPFUT,PPLPHARMA,0.0,2025-09-30,0.0,0.01,2500,FUT,NFO-FUT,NFO
13772290,53798,PRESTIGE25SEPFUT,PRESTIGE,0.0,2025-09-30,0.0,0.1,450,FUT,NFO-FUT,NFO
13773314,53802,RBLBANK25SEPFUT,RBLBANK,0.0,2025-09-30,0.0,0.05,3175,FUT,NFO-FUT,NFO
13773570,53803,RECLTD25SEPFUT,RECLTD,0.0,2025-09-30,0.0,0.05,1275,FUT,NFO-FUT,NFO
13774338,53806,RELIANCE25SEPFUT,RELIANCE,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13774594,53807,RVNL25SEPFUT,RVNL,0.0,2025-09-30,0.0,0.05,1375,FUT,NFO-FUT,NFO
13774850,53808,SAIL25SEPFUT,SAIL,0.0,2025-09-30,0.0,0.01,4700,FUT,NFO-FUT,NFO
12564738,49081,SAMMAANCAP25SEPFUT,SAMMAANCAP,0.0,2025-09-30,0.0,0.01,4300,FUT,NFO-FUT,NFO
13775106,53809,SBICARD25SEPFUT,SBICARD,0.0,2025-09-30,0.0,0.05,800,FUT,NFO-FUT,NFO
13775874,53812,SBILIFE25SEPFUT,SBILIFE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13776642,53815,SBIN25SEPFUT,SBIN,0.0,2025-09-30,0.0,0.05,750,FUT,NFO-FUT,NFO
13781250,53833,SHREECEM25SEPFUT,SHREECEM,0.0,2025-09-30,0.0,5.0,25,FUT,NFO-FUT,NFO
13781506,53834,SHRIRAMFIN25SEPFUT,SHRIRAMFIN,0.0,2025-09-30,0.0,0.05,825,FUT,NFO-FUT,NFO
13781762,53835,SIEMENS25SEPFUT,SIEMENS,0.0,2025-09-30,0.0,0.1,125,FUT,NFO-FUT,NFO
13782018,53836,SOLARINDS25SEPFUT,SOLARINDS,0.0,2025-09-30,0.0,1.0,75,FUT,NFO-FUT,NFO
13782274,53837,SONACOMS25SEPFUT,SONACOMS,0.0,2025-09-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
13782530,53838,SRF25SEPFUT,SRF,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13782786,53839,SUNPHARMA25SEPFUT,SUNPHARMA,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13783042,53840,SUPREMEIND25SEPFUT,SUPREMEIND,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13446146,52524,SUZLON25SEPFUT,SUZLON,0.0,2025-09-30,0.0,0.01,8000,FUT,NFO-FUT,NFO
13785858,53851,SYNGENE25SEPFUT,SYNGENE,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13786114,53852,TATACHEM25SEPFUT,TATACHEM,0.0,2025-09-30,0.0,0.05,650,FUT,NFO-FUT,NFO
13789954,53867,TATACONSUM25SEPFUT,TATACONSUM,0.0,2025-09-30,0.0,0.1,550,FUT,NFO-FUT,NFO
13790210,53868,TATAELXSI25SEPFUT,TATAELXSI,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13790466,53869,TATAMOTORS25SEPFUT,TATAMOTORS,0.0,2025-09-30,0.0,0.05,800,FUT,NFO-FUT,NFO
13792514,53877,TATAPOWER25SEPFUT,TATAPOWER,0.0,2025-09-30,0.0,0.05,1450,FUT,NFO-FUT,NFO
13794050,53883,TATASTEEL25SEPFUT,TATASTEEL,0.0,2025-09-30,0.0,0.01,5500,FUT,NFO-FUT,NFO
13796098,53891,TATATECH25SEPFUT,TATATECH,0.0,2025-09-30,0.0,0.05,800,FUT,NFO-FUT,NFO
13796354,53892,TCS25SEPFUT,TCS,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13797378,53896,TECHM25SEPFUT,TECHM,0.0,2025-09-30,0.0,0.1,600,FUT,NFO-FUT,NFO
13798146,53899,TIINDIA25SEPFUT,TIINDIA,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13798402,53900,TITAGARH25SEPFUT,TITAGARH,0.0,2025-09-30,0.0,0.05,725,FUT,NFO-FUT,NFO
13798658,53901,TITAN25SEPFUT,TITAN,0.0,2025-09-30,0.0,0.1,175,FUT,NFO-FUT,NFO
13798914,53902,TORNTPHARM25SEPFUT,TORNTPHARM,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13799938,53906,TORNTPOWER25SEPFUT,TORNTPOWER,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13800706,53909,TRENT25SEPFUT,TRENT,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13801218,53911,TVSMOTOR25SEPFUT,TVSMOTOR,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13801474,53912,ULTRACEMCO25SEPFUT,ULTRACEMCO,0.0,2025-09-30,0.0,1.0,50,FUT,NFO-FUT,NFO
13801730,53913,UNIONBANK25SEPFUT,UNIONBANK,0.0,2025-09-30,0.0,0.01,4425,FUT,NFO-FUT,NFO
13801986,53914,UNITDSPR25SEPFUT,UNITDSPR,0.0,2025-09-30,0.0,0.1,400,FUT,NFO-FUT,NFO
13802242,53915,UNOMINDA25SEPFUT,UNOMINDA,0.0,2025-09-30,0.0,0.1,550,FUT,NFO-FUT,NFO
13803010,53918,UPL25SEPFUT,UPL,0.0,2025-09-30,0.0,0.05,1355,FUT,NFO-FUT,NFO
13803266,53919,VBL25SEPFUT,VBL,0.0,2025-09-30,0.0,0.05,1025,FUT,NFO-FUT,NFO
13803778,53921,VEDL25SEPFUT,VEDL,0.0,2025-09-30,0.0,0.05,1150,FUT,NFO-FUT,NFO
13804290,53923,VOLTAS25SEPFUT,VOLTAS,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13804546,53924,WIPRO25SEPFUT,WIPRO,0.0,2025-09-30,0.0,0.01,3000,FUT,NFO-FUT,NFO
